[0, 1, 2, 3, 4, 5, 6, 7] : 111.58412
[0, 3, 5, 6, 4, 7, 2, 1] : 109.81958
[0, 3, 5, 6, 7, 4, 2, 1] : 106.76146
[0, 5, 3, 1, 2, 4, 6, 7] : 113.365166
[0, 5, 3, 1, 2, 4, 7, 6] : 99.121
[0, 5, 3, 1, 2, 7, 4, 6] : 102.17912
[0, 5, 3, 1, 2, 7, 6, 4] : 108.00447
[0, 5, 3, 4, 6, 7, 2, 1] : 105.090485
[0, 5, 4, 3, 1, 2, 7, 6] : 98.35959
[0, 5, 4, 6, 7, 2, 1, 3] : 105.38356
[0, 5, 4, 6, 7, 2, 3, 1] : 106.13048
[0, 5, 6, 4, 3, 1, 2, 7] : 108.22929
[0, 5, 6, 4, 7, 2, 1, 3] : 101.009094
[0, 5, 6, 4, 7, 2, 3, 1] : 101.75601
[0, 5, 6, 7, 2, 1, 3, 4] : 99.81047
[0, 5, 6, 7, 2, 4, 3, 1] : 100.33401
[0, 5, 6, 7, 4, 2, 1, 3] : 97.95097
[0, 5, 6, 7, 4, 2, 3, 1] : 98.69789
[0, 5, 6, 7, 4, 3, 1, 2] : 100.59187
[0, 5, 6, 7, 4, 3, 2, 1] : 95.26037
[1, 0, 3, 2, 4, 5, 6, 7] : 116.92253
[1, 0, 3, 2, 4, 7, 6, 5] : 111.37799
[1, 0, 3, 2, 7, 4, 5, 6] : 118.73397
[1, 0, 3, 2, 7, 4, 6, 5] : 114.43611
[1, 0, 3, 2, 7, 6, 4, 5] : 118.81059
[1, 0, 3, 2, 7, 6, 5, 4] : 112.50245
[1, 0, 3, 4, 2, 7, 6, 5] : 113.014114
[1, 0, 3, 4, 5, 6, 7, 2] : 106.00005
[1, 0, 3, 5, 4, 2, 7, 6] : 125.50597
[1, 0, 3, 5, 4, 6, 7, 2] : 114.19405
[1, 0, 3, 5, 6, 4, 2, 7] : 122.37818
[1, 0, 3, 5, 6, 4, 7, 2] : 109.81958
[1, 0, 3, 5, 6, 7, 2, 4] : 114.89999
[1, 0, 3, 5, 6, 7, 4, 2] : 106.76147
[1, 0, 5, 3, 2, 4, 6, 7] : 116.01298
[1, 0, 5, 3, 2, 4, 7, 6] : 114.76629
[1, 0, 5, 3, 2, 7, 4, 6] : 117.82441
[1, 0, 5, 3, 2, 7, 6, 4] : 111.592896
[1, 0, 5, 3, 4, 2, 7, 6] : 116.402405
[1, 0, 5, 3, 4, 6, 7, 2] : 105.09049
[1, 0, 5, 4, 3, 2, 7, 6] : 114.004875
[1, 0, 5, 4, 6, 7, 2, 3] : 106.130486
[1, 0, 5, 6, 4, 3, 2, 7] : 110.87709
[1, 0, 5, 6, 4, 7, 2, 3] : 101.75601
[1, 0, 5, 6, 7, 2, 3, 4] : 103.39888
[1, 0, 5, 6, 7, 2, 4, 3] : 100.33401
[1, 0, 5, 6, 7, 4, 2, 3] : 98.69789
[1, 0, 5, 6, 7, 4, 3, 2] : 95.26036
[1, 2, 3, 0, 5, 4, 6, 7] : 112.868515
[1, 2, 3, 0, 5, 4, 7, 6] : 111.62183
[1, 2, 3, 0, 5, 6, 4, 7] : 108.49405
[1, 2, 3, 0, 5, 6, 7, 4] : 101.01585
[1, 2, 4, 3, 0, 5, 6, 7] : 107.072044
[1, 2, 4, 7, 6, 5, 0, 3] : 97.950966
[1, 2, 7, 4, 3, 0, 5, 6] : 108.88348
[1, 2, 7, 4, 6, 5, 0, 3] : 101.00909
[1, 2, 7, 6, 4, 3, 0, 5] : 108.96008
[1, 2, 7, 6, 4, 5, 0, 3] : 105.38356
[1, 2, 7, 6, 5, 0, 3, 4] : 102.65196
[1, 3, 0, 5, 4, 2, 7, 6] : 116.69547
[1, 3, 0, 5, 4, 6, 7, 2] : 105.38356
[1, 3, 0, 5, 6, 4, 2, 7] : 113.567696
[1, 3, 0, 5, 6, 4, 7, 2] : 101.009094
[1, 3, 0, 5, 6, 7, 2, 4] : 106.08949
[1, 3, 0, 5, 6, 7, 4, 2] : 97.95097
[2, 1, 0, 3, 4, 5, 6, 7] : 106.000046
[2, 1, 0, 3, 4, 7, 6, 5] : 109.836105
[2, 1, 0, 3, 5, 4, 6, 7] : 114.194046
[2, 1, 0, 3, 5, 4, 7, 6] : 120.106674
[2, 1, 0, 3, 5, 6, 4, 7] : 109.81958
[2, 1, 0, 3, 5, 6, 7, 4] : 106.76146
[2, 1, 0, 5, 3, 4, 6, 7] : 105.090485
[2, 1, 0, 5, 3, 4, 7, 6] : 111.003105
[2, 1, 0, 5, 6, 7, 4, 3] : 95.26036
[2, 1, 3, 0, 5, 4, 6, 7] : 105.38356
[2, 1, 3, 0, 5, 4, 7, 6] : 111.29618
[2, 1, 3, 0, 5, 6, 4, 7] : 101.009094
[2, 1, 3, 0, 5, 6, 7, 4] : 97.95097
[2, 3, 1, 0, 5, 4, 6, 7] : 106.130486
[2, 3, 1, 0, 5, 4, 7, 6] : 112.043106
[2, 3, 1, 0, 5, 6, 4, 7] : 101.75601
[2, 3, 1, 0, 5, 6, 7, 4] : 98.6979
[2, 4, 3, 1, 0, 5, 6, 7] : 100.33401
[2, 4, 7, 6, 5, 0, 1, 3] : 98.69789
[2, 7, 4, 3, 1, 0, 5, 6] : 109.304756
[2, 7, 4, 6, 5, 0, 1, 3] : 101.75601
[2, 7, 6, 4, 3, 1, 0, 5] : 111.60265
[2, 7, 6, 4, 5, 0, 1, 3] : 106.13048
[2, 7, 6, 5, 0, 1, 3, 4] : 100.33401
[3, 0, 1, 2, 4, 5, 6, 7] : 111.396286
[3, 0, 1, 2, 4, 7, 6, 5] : 106.76146
[3, 0, 1, 2, 7, 4, 5, 6] : 112.95191
[3, 0, 1, 2, 7, 4, 6, 5] : 109.81958
[3, 0, 1, 2, 7, 6, 4, 5] : 114.194046
[3, 0, 1, 2, 7, 6, 5, 4] : 106.000046
[3, 1, 0, 5, 4, 2, 7, 6] : 111.660355
[3, 1, 0, 5, 6, 4, 2, 7] : 108.788376
[3, 1, 0, 5, 6, 7, 2, 4] : 100.33401
[3, 2, 1, 0, 5, 4, 6, 7] : 108.089195
[3, 2, 1, 0, 5, 4, 7, 6] : 106.5867
[3, 2, 1, 0, 5, 6, 4, 7] : 103.71473
[3, 2, 1, 0, 5, 6, 7, 4] : 95.26036
[3, 4, 2, 1, 0, 5, 6, 7] : 102.292725
[3, 4, 5, 0, 1, 2, 7, 6] : 108.22282
[3, 4, 6, 5, 0, 1, 2, 7] : 105.350845
[3, 4, 6, 7, 2, 1, 0, 5] : 105.090485
[3, 4, 7, 2, 1, 0, 5, 6] : 103.84835
[3, 5, 0, 1, 2, 4, 6, 7] : 110.486725
[3, 5, 0, 1, 2, 4, 7, 6] : 108.98424
[3, 5, 0, 1, 2, 7, 4, 6] : 112.04235
[3, 5, 0, 1, 2, 7, 6, 4] : 105.09048
[4, 2, 1, 0, 3, 5, 6, 7] : 106.76146
[4, 2, 1, 3, 0, 5, 6, 7] : 97.95097
[4, 2, 3, 1, 0, 5, 6, 7] : 98.69789
[4, 3, 0, 1, 2, 7, 6, 5] : 106.000046
[4, 3, 2, 1, 0, 5, 6, 7] : 95.26036
[4, 3, 5, 0, 1, 2, 7, 6] : 105.090485
[4, 5, 0, 1, 3, 2, 7, 6] : 106.130486
[4, 5, 0, 3, 1, 2, 7, 6] : 105.38356
[4, 5, 3, 0, 1, 2, 7, 6] : 114.194046
[4, 6, 5, 0, 1, 3, 2, 7] : 101.75601
[4, 6, 5, 0, 3, 1, 2, 7] : 101.00909
[4, 6, 5, 3, 0, 1, 2, 7] : 109.81958
[4, 6, 7, 2, 1, 0, 3, 5] : 114.194046
[4, 6, 7, 2, 1, 3, 0, 5] : 105.38356
[4, 6, 7, 2, 3, 1, 0, 5] : 106.13048
[4, 7, 2, 1, 0, 3, 5, 6] : 109.81958
[4, 7, 2, 1, 3, 0, 5, 6] : 101.00909
[4, 7, 2, 3, 1, 0, 5, 6] : 101.75601
[5, 0, 1, 2, 3, 4, 6, 7] : 107.09219
[5, 0, 1, 2, 3, 4, 7, 6] : 95.26036
[5, 0, 1, 3, 2, 4, 6, 7] : 110.529724
[5, 0, 1, 3, 2, 4, 7, 6] : 98.6979
[5, 0, 1, 3, 2, 7, 4, 6] : 101.75601
[5, 0, 1, 3, 4, 2, 7, 6] : 100.33401
[5, 0, 3, 1, 2, 4, 6, 7] : 109.7828
[5, 0, 3, 1, 2, 4, 7, 6] : 97.95097
[5, 0, 3, 1, 2, 7, 4, 6] : 101.00909
[5, 3, 0, 1, 2, 4, 6, 7] : 118.59329
[5, 3, 0, 1, 2, 4, 7, 6] : 106.76146
[5, 3, 0, 1, 2, 7, 4, 6] : 109.81958
[5, 4, 3, 0, 1, 2, 7, 6] : 106.00004
[5, 6, 4, 3, 0, 1, 2, 7] : 113.457405
[6, 4, 3, 5, 0, 1, 2, 7] : 105.09048
[6, 4, 5, 0, 1, 3, 2, 7] : 106.13048
[6, 4, 5, 0, 3, 1, 2, 7] : 105.38355
[6, 4, 5, 3, 0, 1, 2, 7] : 114.19405
[6, 5, 0, 1, 2, 3, 4, 7] : 95.26037
[6, 5, 0, 1, 3, 2, 4, 7] : 98.69789
[6, 5, 0, 1, 3, 4, 2, 7] : 100.33401
[6, 5, 0, 3, 1, 2, 4, 7] : 97.950966
[6, 5, 3, 0, 1, 2, 4, 7] : 106.76145
[6, 5, 4, 3, 0, 1, 2, 7] : 106.000046
